review,sentiment
This was the worst movie I saw at WorldFest and it also received the least amount of applause afterwards! I can only think it is receiving such recognition based on the amount of known actors in the film. It's great to see J.Beals but she's only in the movie for a few minutes. M.Parker is a much better actress than the part allowed for. The rest of the acting is hard to judge because the movie is so ridiculous and predictable. The main character is totally unsympathetic and therefore a bore to watch. There is no real emotional depth to the story. A movie revolving about an actor who can't get work doesn't feel very original to me. Nor does the development of the cop. It feels like one of many straight-to-video movies I saw back in the 90s ... And not even a good one in those standards.<br /><br />,0
"I like this movie because it is a fine work of cinema, made by people who care enough to make it art and not just home movies. It is filled with Super-surfer Greg Noll's home movies, and a boatload of amateur video from others who align themselves with his 50-year passion. Nevertheless, it has been expanded to the degree that it approaches aesthetic glory. It is filled with artistic talent, and athletic talent, however trivial you might think surfing to be athletic. Surfers are not astronauts nor test-pilots. Nor are they surgeons(perhaps) or Ph.d's(again, perhaps). It believes in the quest of the surfer. It believes in the beauty of human goofiness. It believes in the great gift of peace, which comes from the cessation of war. Surfers celebrate the cessation of war on the north beach of an Hawaiian island attacked by Japanese zeroes fifteen years before. It celebrates the down-time of a country which fought a cold war-instead of a hot-war - with the Russian socialists. Surfing is the ultimate narcissism. It is dangerous, but only slightly historical. I suspect Alexander the Great would not be celebrated for his surfing technique. He had to go out and conquer a few dozen countries to get the favorable press he has received. This movie has no military heroes. It has no guns. The only beach-head surfers conquer has a beer-stand and and a surfboard shop. This is not a problem. Peace is not desperate. It is the joy of exhalation.",1
"OK, I'm Italian but there aren't so many Italian film like this. I think that the plot is very good for 3/4 of the film but the final is too simple, too predictable. But it's the only little mistake. The Consequences of Love in my opinion have great sequences in particular at the beginning and great soundtrack. I'd like very much the lighting work on it. The best thing on it is a great, great actor. You know, if your name were Al Pacino now everybody would have still been talking about this performance. But it's only a great theater Italian actor called Toni Servillo. Yes, someone tell me this film and this kind of performance it's too slow, it's so boring, so many silences, but i think that this components its fantastic, its the right way for describing the love story between a very talented young girl, the grand-daughter of the Italian actress Anna Magnani, Olivia and the old mysterious man Toni. One of my favorite Italian films.",1
Not an easy film to like at first with both the lead characters quite unlikeable but luckily the heart and soul of the film is Paula Sage's touching performance which drives the film into uncharted waters and transcends the rather awkward storyline. This gives the film a feeling of real truth and makes you think you've seen something special.(7/10),1
"At 2:37, a high school student commits suicide. Not shown who has taken their lives or reasons known, time skips back to the start of the day. From here we follow six separate students; Marcus, Melody, Luke, Steven, Sarah and Sean. Each student is struggling with their own moral dilemmas, all reaching boiling point, hitting to an end for one.<br /><br />After losing a friend to suicide, and surviving his own suicide attempt, writer/director Murali K. Thalluri has created a revetting drama focusing on teen life and the horrible act of suicide. Suicide has been a topic that has been kept in the shadows, 2:37 is Thalluri's attempt to bring it to light. If you have been touched by the act of suicide or anyone who has, 2:37 becomes all the harder to view.<br /><br />With heavy and hard subject matter, Thalluri also tackles everyday teenage life crisis's. Sex, pregnancy, sexual identity, bullying, friendship, Thalluri manages and shows them in an extremely realistic manner. The factor on Thalluri's talent is his subtlety. He respect his subject and the problems that everyone will have suffered through at sometime. It verges near documentary at times, it has such a painful realism; the interviews with each character spliced through the film only heightens this.<br /><br />2:37 has a distinctive similarity to Gus Van Sants film Elephant. While the core of each film is different, both tackle teen life. Like Sant, Thalluri utilizes long tracking shots, with time skipping back and forth, to show each characters interaction from different perspectives. A defining point to Elephant was its ethereal ambiance. With spare conversation, little development of characters, and the long tracking shots, Sant created a haunting and mesmerizing atmosphere to a coming dread. While there resides this dread in 2:37, the emotional connection to the characters reaches a higher level Sant couldn't reach. As time goes by, each characters fragility creeps out, dragging you along their emotional roller-coaster.<br /><br />The real hit in this film comes with the inevitable suicide, foretold at the very beginning. The hard part about this scene is the complete intrusion and discomfort we have as an audience watching someones life end in a gruesome fashion. Though many films that have shown suicide, gloss over the act or romanticizes the act. Thalluri shows the pain and agony involved with this act and that its not the best solution. With unknowns in the leads and their first major roles; Teresa Palmereach, Frank Sweet, Joel Mackenzie, Marni Spillane, Charles Baird and Sam Harris all show immense talent and promising acting careers.<br /><br />Compelling and revetting, 2:37 is an absolutely unmissable film.",1
"Of the elements that make this the best at this point, I have to say #1 is Christine McIntire. Shemp's scene when poisoned and her reaction are truly magnificent. I imagine that, as one poster suggested, Christine was trying to hold back laughter during that scene, but it actually made her seem even more deliciously evil, to be smiling at Shemp's possibly dying.<br /><br />Another character who helps this stand out is the Goon. His look was a great cross between horrific and comedic goof-ball. Hardly a character I would choose to meet in a dark alley or, for that matter anywhere. I would have preferred a bit of true whodunit mystery in this, but hey, when a short is this good, who's going to complain. Not I.",1
"I went to see this one with much expectation. Quite unfortunately the dialogue is utterly stupid and overall the movie is far from inspiring awe or interest. Even a child can see the missing logic to character's behaviors. Today's kids need creative stories which would inspire them, which would make them 'daydream' about the events. That's precisely what happened with movies like E.T. and Star Wars a decade ago. (How many kids imagined about becoming Jedi Knights and igniting their own lightsabers?) Seriously don't waste your time & money on this one.",0
"Despite having an absolutely horrid script (more about that later), this film is still vaguely watchable just because it stars two excellent actors, Barbara Stanwyck and Henry Fonda. Aside from one or two REAL stinkers, I'd probably watch just about anything with them in the film, as I am a huge fan of Hollywood's golden age of the 1930s and 40s. However, no matter how much I love their films, I just can't recommend this film.<br /><br />The movie begins with Fonda and Stanwyck on vacation at some ski resort. The two haven't yet met, but the film begins loudly and obnoxiously with a scene in which Fonda horribly yodels while skiing. It was done so unsubtly and made my teeth grind but I stuck it out--especially when Fonda fell into a snow bank and this stopped the yodeling!! In hindsight, perhaps I should have just turned it off then! Fonda is knocked out in the fall and Barbara goes for help. Back at the ski lodge, he seems okay but fortunately she is ALSO a doctor and has him x-rayed and nurses him back to health. He, in turn, becomes infatuated with her and proposes to her. Despite hardly knowing each other, they marry and so far the film seems like a sweet but very slight romantic comedy.<br /><br />Once home, however, all isn't rosy as she jumps right back into her job as a family doctor and he begins exhibiting signs that he is a controlling and potentially dangerous man due to his jealousy. The film plays it all for laughs, but frankly Fonda's behaviors were really creepy--spying on her and her male patients, attacking or threatening ANY man she treats, tripping a patient who already has a back injury and stomping into a surprise party and insisting that everyone there (men and women) are out to steal away his wife. He comes off as a combination of a sociopath and paranoid schizophrenic, but it's all supposed to be for laughs. Considering that he seems like a dangerous nut, you would think that Stanwyck would file for an annulment along with a restraining order! But, oddly, she gets mad but just can't stay mad at Fonda because he's so........? I can't think of the right word--'creepy' is all that comes to mind!!! Later, out of the blue, multi-millionaire Fonda gets a job working the counter at a department store. Then, through magical thinking, he and Babs seem to assume his hostility and violent jealousy is all a thing of the past--so a job apparently cures anger and suspicions. When this job falls through, the film ends with Fonda buying his own hospital, giving Barbara a job there and they live happily ever after. They don't go any further with the story, but I assume based on Fonda's character that he then spent most of his time as hospital administrator beating up all the male patients.<br /><br />The first portion at the ski lodge and the next did NOT fit well together, nor did the final ""Horatio Alger"" inspired section where the rich boy made good in the business world. They were like three separate plots but despite this, the most serious problem with the film was its seeming to excuse away domestic violence and delusional jealousy! What a creepy little film! Thank goodness neither Fonda nor Stanwyck are known for this yechy film but for all their other lovely films.",0
"***SPOILERS*** All too, in real life as well as in the movies, familiar story that happens to many young men who are put in a war zone with a gun, or rifle, in their hands. The case of young and innocent, in never handling or firing a gun, Jimmy Davis, Franchot Tone, has been repeated thousands of times over the centuries when men, like Jimmy Davis, are forced to take up arms for their country.<br /><br />Jimmy who at first wanted to be kicked out of the US Army but was encouraged to stay, by being belted in the mouth, by his good friend Fred P. Willis, Spencer Tracy, ended up on the front lines in France. With Jimmy's unit pinned down by a German machine gun nest he single handedly put it out of commission picking off some half dozen German soldiers from the safety of a nearby church steeple. It was when Jimmy gunned down the last surviving German, who raised his arms in surrender, that an artillery shell hit the steeple seriously wounding him.<br /><br />Recovering from his wounds at an Army hospital Jimmy fell in love with US Army volunteer nurse Rose Duffy, Gladys George. Rose was really in love with Jimmy's good friend the happy go lucky Fred despite his obnoxious antics towards her. It's when Fred was lost during the fighting on the Western Front that Rose, thinking that he was killed, fell in love and later married Jimmy. When Fred unexpectedly showed up in the French town where Jimmy, now fully recovered from his wounds, was stationed at things got very sticky for both him and Rose who had already accepted Jimmy's proposal of marriage to her!<br /><br />With WWI over and Jimmy marrying Rose left Fred, who's still in love with her, a bitter and resentful young man. It was almost by accident that Fred ran into Jimmy on the streets of New York City and discovered to his shock and surprise that he completely changed from the meek and non-violent person that he knew before he was sent to war on the European Western Front. Smug and sure of himself, and his ability to shoot a gun, Jimmy had become a top mobster in New York City's underworld! Not only that but as Fred later found out his wife Rose had no idea what Jimmy was really involved in with Jimmy telling her that he works as a law abiding and inoffensive insurance adjuster.<br /><br />Jimmy's life of crime came full circle when Rose, after she found out about his secret life, ratted him out to the police to prevent him from executing a ""Valentine Day"" like massacre, with his gang members dressed as cops, of his rival mobsters. While on trial Jimmy came to his senses and admitted his guilt willing to face the music and then, after his three year sentence is up, get his life back together. <br /><br />***SPOILER ALERT*** Hearing rumors from fellow convicts that Rose and his best friend Fred were having an affair behind his back Jimmy broke out of prison ending up a fugitive from the law. It's at Fred's circus, where he works as both manger and barker, that Jimmy in seeing that Rose as well as Fred were true to him that he, like at his trial, had a sudden change of heart. But the thought of going back to prison, with at least another ten years added on to his sentence, was just too much for Jimmy! It was then that Jimmy decided to end it all by letting the police who by then tracked him down do the job, that he himself didn't have the heart to do, for him!",1
"This animation has a very simple and straightforward good vs. evil plot and is all about action. What sets it apart from other animation is how well the human movements are animated. It was really beautiful seeing the fleeing woman running around on the screen from left to right and look around, her movements were done so well. Why don't they use this rotoscopic technique more these days? It's quite effective.<br /><br />Fire and Ice, in it's prehistoric setting and scarcely dressed women, was clearly devoted to showing the beautiful damsel in distress in various sexy ways, her voluptuous body serving as pure eyecandy. Some may hate this and regard it as yet another moronic male sexual fantasy, others (including plenty of women) will adore it's esthetic quality. I for sure did not mind! Bakshi just loves animating lushious, voluptuous babes, as can also be seen in Cool World, and I don't think he has to apoligize since it's pretty much animation for adults. But I had also enjoyed this animation as a child and I never forgot it.<br /><br />This one was just special, so different from the standard Disney or Anime fare, and for that reason alone well worth the watch since it's possibly Bakshi's finest. For those who like animations with lushious women: try Space Adventure Cobra as well.<br /><br />I give Fire and Ice 8 out of 10.",1
